//X,Y,Z,Nx,Ny,Nz
-97.86813354,137.66764832,-75.28712463,0.429051,0.147800,-0.891106
-97.71791077,128.28271484,-77.61005402,0.210154,-0.677164,-0.705184
-97.75071716,143.13253784,-59.59225464,-0.872144,0.322281,0.368103
-97.56524658,127.25491333,-74.57283783,0.110657,-0.993723,0.016434
-97.70600128,147.85340881,-66.15677643,-0.433929,0.900830,0.014508
-97.55641174,130.30807495,-78.55057526,0.403153,-0.043908,-0.914079
-97.45874023,139.85449219,-59.31233978,-0.775716,-0.270158,0.570333
-97.34243011,135.69938660,-61.54104233,-0.006929,-0.727572,0.685996
-97.39776611,128.13688660,-77.34017944,0.308752,-0.683780,-0.661149
-97.34883118,127.31994629,-75.63571930,0.138967,-0.980146,-0.141426
-97.21572113,127.30583191,-75.32627106,0.158678,-0.984280,-0.077549
-97.53854370,146.78251648,-63.15341187,-0.824127,0.458549,0.332487
-97.35983276,141.33927917,-58.29878616,-0.853817,-0.101543,0.510574
-97.50156403,143.17826843,-58.90422821,-0.920427,0.239799,0.308724
-97.45310211,145.41387939,-61.25483704,-0.849010,0.403474,0.341162
-97.28122711,141.46420288,-58.15927505,-0.861936,-0.086335,0.499612
-97.11669922,138.52148438,-74.74394989,0.433222,0.154002,-0.888033
-97.03533936,146.85336304,-62.06328964,-0.799397,0.485406,0.354042
-97.14262390,127.54926300,-72.73100281,0.246108,-0.926104,0.285940
-96.85943604,132.61573792,-66.43595123,0.100368,-0.810214,0.577477
-96.79943848,147.81311035,-63.00444031,-0.712573,0.635364,0.297576
-96.73611450,147.95251465,-66.47434235,0.122948,0.953174,-0.276302
-96.79311371,135.56698608,-61.71361160,0.055649,-0.763393,0.643533
-96.91684723,147.34812927,-68.59432983,0.396181,0.867314,-0.301342
-96.65837860,145.48873901,-59.31114578,-0.817519,0.449239,0.360343
57.28359985,31.55607033,0.73369956,0.299426,-0.754170,-0.584442
-96.60813904,147.25135803,-61.67436981,-0.790933,0.523575,0.316692
-96.57402039,143.46861267,-73.90054321,0.530485,0.412234,-0.740708
-96.47874451,130.78144836,-69.62961578,0.588063,-0.621763,0.517293
-96.31033325,136.19981384,-61.06786346,-0.086019,-0.683779,0.724601
-96.65245056,139.48884583,-58.53003693,-0.650911,-0.519720,0.553359
-96.33460236,127.86740112,-76.03195953,0.621814,-0.671559,-0.402935
-96.33615875,146.10032654,-59.26902771,-0.836459,0.389087,0.385937
-96.34623718,146.68769836,-69.27927399,0.556291,0.745528,-0.367054
-95.90066528,127.81417847,-75.01967621,0.594730,-0.771751,-0.225159
-96.15734863,127.61252594,-73.98795319,0.366289,-0.927128,0.079161
-96.07694244,128.42839050,-76.32751465,0.713587,-0.530616,-0.457428
-96.04016113,128.05632019,-75.82941437,0.714803,-0.572833,-0.401148
-95.81869507,137.61000061,-59.97853470,-0.333831,-0.639978,0.692088
-96.20980072,138.43775940,-59.05578995,-0.562344,-0.606250,0.562344
-95.89880371,143.50305176,-73.34289551,0.599483,0.423458,-0.679193
-96.02693176,147.96180725,-66.03929138,0.198634,0.900379,-0.387120
-95.80994415,140.99407959,-55.80250168,-0.802236,-0.308552,0.511089
-96.02039337,142.71304321,-55.63060760,-0.908474,0.052335,0.414651
-95.83155060,148.46972656,-64.11975861,-0.165164,0.982545,-0.085596
-95.73554993,147.74194336,-59.99222565,-0.756448,0.598526,0.263730
-95.83602142,130.25202942,-77.36928558,0.676694,-0.192680,-0.710605
-95.54589844,146.34465027,-68.67558289,0.589188,0.723020,-0.360694
-95.70999146,140.64364624,-55.88548279,-0.769332,-0.398491,0.499334
-95.79311371,139.09655762,-57.90895844,-0.666405,-0.569046,0.481759
-95.77160645,138.80511475,-58.19972229,-0.632693,-0.578703,0.514590
-95.32470703,147.25480652,-66.95558929,0.459620,0.763852,-0.453077
-95.66036987,135.85334778,-74.34700012,0.687207,0.172950,-0.705574
-95.51363373,136.23042297,-74.14627838,0.681045,0.101495,-0.725173
-95.60437012,138.00544739,-59.02803421,-0.526033,-0.721844,0.449700
